216.154285706, 1481163142.012819052
216.155296131, 1481163142.013816118
216.156306698, 1481163142.014828920
216.157301127, 1481163142.015819073
216.158300192, 1481163142.016819954
216.159301639, 1481163142.017819881
216.160303435, 1481163142.018825054
216.161303333, 1481163142.019825935
216.162313953, 1481163142.020837069
216.163308362, 1481163142.021826982
216.164303268, 1481163142.022825956
216.165301694, 1481163142.023822069
216.166300855, 1481163142.024818897
216.167300466, 1481163142.025819063
216.168347402, 1481163142.026835918
216.169340072, 1481163142.027837038
216.170374841, 1481163142.028862000
216.171377624, 1481163142.029884100
216.172377229, 1481163142.030883074
216.173342323, 1481163142.031852961
216.174371928, 1481163142.032882929
216.175376596, 1481163142.033883095
216.176379354, 1481163142.034885883
216.177375259, 1481163142.035865068
216.178374976, 1481163142.036864996
216.179374237, 1481163142.037864923
216.180379629, 1481163142.038886070
216.181375891, 1481163142.039882898
216.182373080, 1481163142.040863991
216.183375627, 1481163142.041882992
216.184377371, 1481163142.042884111
216.185375678, 1481163142.043883085
216.186374741, 1481163142.044864893
216.187376905, 1481163142.045883894
216.188377123, 1481163142.046884060
216.189340150, 1481163142.047851086
216.190367672, 1481163142.048865080
216.191378491, 1481163142.049885988
216.192378107, 1481163142.050884962
216.193355829, 1481163142.051866055
216.194379212, 1481163142.052886009
216.195382109, 1481163142.053889036
216.196381794, 1481163142.054888010
216.197382476, 1481163142.055888891
216.198390755, 1481163142.056896925
216.199384886, 1481163142.057890892
216.200358801, 1481163142.058881044
216.201362198, 1481163142.059885025
216.202332000, 1481163142.060854912
216.203413452, 1481163142.061923027
216.204362407, 1481163142.062880039
216.205360163, 1481163142.063879013
216.206334688, 1481163142.064856052
216.207391954, 1481163142.065900087
216.208356575, 1481163142.066874027
216.209374638, 1481163142.067892075
216.210381544, 1481163142.068901062
216.211371588, 1481163142.069880009
216.212418590, 1481163142.070894957
216.213387012, 1481163142.071892023
216.214363617, 1481163142.072896004
216.215397854, 1481163142.073892117
216.216402597, 1481163142.074892044
216.217407474, 1481163142.075896978
216.218407112, 1481163142.076896906
216.219399117, 1481163142.077899933
216.220400599, 1481163142.078901052
216.221376289, 1481163142.079868078
216.222393401, 1481163142.080892086
216.223394375, 1481163142.081892967
216.224407671, 1481163142.082896948
216.225408771, 1481163142.083898067
216.226411383, 1481163142.084918022
